listIndex,targetUrl,found,matchCount,domIndex,linkText,href,xpath,target,rel
33,https://apps.apple.com/in/app/docthub-health-career-app/id1625281489,YES,1,30,(no text),https://apps.apple.com/in/app/docthub-health-career-app/id1625281489,/html[1]/body[1]/div[3]/div[6]/div[1]/div[2]/div[2]/div[5]/a[2],_blank,noopener noreferrer
34,https://www.docthub.com/about-us,YES,2,31,Read Full,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[1]/div[1]/div[1]/a[1],,
34,https://www.docthub.com/about-us,YES,2,32,Our Philosophy,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[1],,
35,https://www.docthub.com/about-us,YES,2,31,Read Full,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[1]/div[1]/div[1]/a[1],,
35,https://www.docthub.com/about-us,YES,2,32,Our Philosophy,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[1],,
36,https://www.docthub.com/media-releases,YES,1,33,Media Release,https://www.docthub.com/media-releases,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[2],,
37,https://www.docthub.com/media-releases/company-milestones?id=1&type=category,YES,1,34,Company Milestones,https://www.docthub.com/media-releases/company-milestones?id=1&type=category,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[3],,
38,https://www.docthub.com/media-releases/news-coverage?id=6&type=category,YES,1,35,News Coverage,https://www.docthub.com/media-releases/news-coverage?id=6&type=category,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[4],,
39,https://jobs.docthub.com/,YES,2,0,Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[1],,
39,https://jobs.docthub.com/,YES,2,36,Find Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[1],_blank,noopener noreferrer
40,https://courses.docthub.com/,YES,3,1,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[2],,
40,https://courses.docthub.com/,YES,3,28,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[5]/div[1]/div[3]/div[1]/div[1]/a[1],_blank,noopener noreferrer
40,https://courses.docthub.com/,YES,3,37,Search Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[2],_blank,noopener noreferrer
41,https://events.docthub.com/,YES,3,2,Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[3],,
41,https://events.docthub.com/,YES,3,13,Upcoming Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[1],,
41,https://events.docthub.com/,YES,3,38,Explore Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[3],_blank,noopener noreferrer
42,,NO,0,,,,,,
43,https://www.docthub.com/enterprise-solutions,YES,1,39,Docthub for Business,https://www.docthub.com/enterprise-solutions,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[5],_blank,noopener noreferrer
44,https://www.facebook.com/docthub/,NO,0,,,,,,
45,https://twitter.com/docthub,NO,0,,,,,,
46,https://www.linkedin.com/company/docthub2017/,NO,0,,,,,,
47,https://www.instagram.com/docthub/,NO,0,,,,,,
48,https://www.youtube.com/c/Docthub1/videos,NO,0,,,,,,
49,https://play.google.com/store/search?q=docthub&c=apps&hl=en,NO,0,,,,,,
50,https://apps.apple.com/in/app/docthub-healthcare-career-app/id1625281489,NO,0,,,,,,
51,https://jobs.docthub.com/,YES,2,0,Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[1],,
51,https://jobs.docthub.com/,YES,2,36,Find Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[1],_blank,noopener noreferrer
52,https://courses.docthub.com/,YES,3,1,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[2],,
52,https://courses.docthub.com/,YES,3,28,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[5]/div[1]/div[3]/div[1]/div[1]/a[1],_blank,noopener noreferrer
52,https://courses.docthub.com/,YES,3,37,Search Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[2],_blank,noopener noreferrer
53,https://events.docthub.com/,YES,3,2,Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[3],,
53,https://events.docthub.com/,YES,3,13,Upcoming Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[1],,
53,https://events.docthub.com/,YES,3,38,Explore Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[3],_blank,noopener noreferrer
54,https://docthub.com/healthcare-career-app,NO,0,,,,,,
55,https://jobs.docthub.com/drop-your-resume,NO,0,,,,,,
56,https://docthub.com/explore-courses-after-12th,NO,0,,,,,,
57,https://docthub.com/logbook,NO,0,,,,,,
58,https://docthub.com/resume-builder,NO,0,,,,,,
59,https://docthub.com/healthcare-career-app,NO,0,,,,,,
60,https://news.docthub.com/,NO,0,,,,,,
61,https://docthub.com/course-pages,NO,0,,,,,,
62,https://docthub.com/jobrole-pages,NO,0,,,,,,
63,https://docthub.com/recruiter,NO,0,,,,,,
64,https://docthub.com/institute,NO,0,,,,,,
65,https://docthub.com/event-organizer,NO,0,,,,,,
66,https://docthub.com/membership-management,NO,0,,,,,,
67,https://docthub.com/qr-check-in-app,NO,0,,,,,,
68,https://docthub.com/enterprise-solutions,NO,0,,,,,,
69,,NO,0,,,,,,
70,https://enterprise.docthub.com/en/register,NO,0,,,,,,
71,https://docthub.com/about-us,NO,0,,,,,,
72,https://docthub.com/media-releases,NO,0,,,,,,
73,https://blogs.docthub.com/,NO,0,,,,,,
74,https://docthub.com/contact-us,NO,0,,,,,,
75,https://docthub.com/,NO,0,,,,,,
76,https://docthub.com/terms-conditions,NO,0,,,,,,
77,https://docthub.com/privacy-policy,NO,0,,,,,,
78,https://docthub.com/cookies-policy,NO,0,,,,,,
79,https://docthub.com/payment-policy,NO,0,,,,,,
80,https://docthub.com/disclaimer-policy,NO,0,,,,,,
81,https://enterprise.docthub.com/enterprise-terms-conditions,NO,0,,,,,,
82,https://enterprise.docthub.com/enterprise-privacy-policy,NO,0,,,,,,
83,https://enterprise.docthub.com/enterprise-payment-policy,NO,0,,,,,,
